date_disclosed,project_name,document_type,project_number,project_url,product_line,company_name,country,ifc_country_code,industry,environmental_category,department,status,projected_board_date,ifc_approval_date,ifc_signed_date,ifc_invested_date,ifc_investment_for_risk_managementmillion__usd,ifc_investment_for_guaranteemillion__usd,ifc_investment_for_loanmillion__usd,ifc_investment_for_equitymillion__usd,total_ifc_investment_as_approved_by_boardmillion__usd,wb_country_code,as_of_date
11-May-2001,Peru Rail,Summary of Proposed Investment (Disclosure Policy 2006),10024,https://disclosures.ifc.org/project-detail/SPI/10024/peru-rail,Loan,Ferrocarril Transandino S.A.,Peru,PER,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,15-Jun-2001,07-May-2002,27-Jun-2002,18-Nov-2002,,,9.0,,9.0,PE,15-Sep-2024
06-Apr-2000,San Antonio International Terminal,Summary of Proposed Investment (Disclosure Policy 2006),10081,https://disclosures.ifc.org/project-detail/SPI/10081/san-antonio-international-terminal,Loan,San Antonio Terminal Internacional S.A.,Chile,,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,,12-May-2000,15-Nov-2000,21-Dec-2000,,,35.0,3.7,38.700001,CL,15-Sep-2024
17-Oct-2000,UF Moldova Distribution Company,Summary of Proposed Investment (Disclosure Policy 2006),10113,https://disclosures.ifc.org/project-detail/SPI/10113/uf-moldova-distribution-company,Loan,RED UNION FENOSA S.A.,Moldova,MDA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,16-Nov-2000,20-Dec-2000,19-Nov-2001,06-Feb-2002,,,25.0,,25.0,MD,15-Sep-2024
27-Dec-1999,C.A. La Electricidad de Caracas,Summary of Proposed Investment (Disclosure Policy 2006),10117,https://disclosures.ifc.org/project-detail/SPI/10117/c.a.-la-electricidad-de-caracas,Loan,C.A. La Electricidad de Caracas,"Venezuela, Republica Bolivariana de",,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,,03-Feb-2000,25-Jul-2000,09-Aug-2000,,,30.0,,30.0,VE,15-Sep-2024
22-Aug-2000,Tecon Salvador,Summary of Proposed Investment (Disclosure Policy 2006),10201,https://disclosures.ifc.org/project-detail/SPI/10201/tecon-salvador,Loan,Tecon Salvador S/A.,Brazil,BRA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,26-Sep-2000,01-Dec-2000,19-Jan-2001,09-Apr-2001,,,3.5,1.0,4.5,BR,15-Sep-2024
22-Feb-2002,Pamir Energy Development,Summary of Proposed Investment (Disclosure Policy 2006),10255,https://disclosures.ifc.org/project-detail/SPI/10255/pamir-energy-development,Loan,OAO PAMIR ENERGY COMPANY,Tajikistan,TJK,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Active,28-Mar-2002,27-Jun-2002,16-Sep-2002,21-Jul-2003,,,4.5,3.5,8.0,TJ,15-Sep-2024
12-Apr-2001,Central Aguirre Portuaria - II,Summary of Proposed Investment (Disclosure Policy 2006),10304,https://disclosures.ifc.org/project-detail/SPI/10304/central-aguirre-portuaria---ii,Loan,Central Aguirre Portuaria S.A.,Bolivia,BOL,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,15-Jun-2001,21-Jun-2001,25-Feb-2002,24-May-2002,,,2.5,,2.5,BO,15-Sep-2024
02-Mar-2001,Mahindra Infrastructure Company,Summary of Proposed Investment (Disclosure Policy 2006),10384,https://disclosures.ifc.org/project-detail/SPI/10384/mahindra-infrastructure-company,Equity,MAHINDRA INFRASTRUCTURE DEVELOPERS LIMITED,India,IND,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,02-Apr-2001,19-Apr-2001,25-Jun-2001,17-Jun-2003,,,,10.0,10.0,IN,15-Sep-2024
26-Mar-2001,Volga-Dnepr Airlines,Summary of Proposed Investment (Disclosure Policy 2006),10465,https://disclosures.ifc.org/project-detail/SPI/10465/volga-dnepr-airlines,Loan,"AVIAKOMPANIYA VOLGA-DNEPR, OOO",Russian Federation,RUS,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,30-Apr-2001,31-May-2001,19-Jun-2002,05-Aug-2002,,,25.0,,25.0,RU,15-Sep-2024
29-Mar-2001,CAESS/EEO/DEUSEM Distribution Companies,Summary of Proposed Investment (Disclosure Policy 2006),10471,https://disclosures.ifc.org/project-detail/SPI/10471/caess-eeo-deusem-distribution-companies,Loan,"COMPANIA DE ALUMBRADO ELECTRICO DE SAN SALVADOR, S.A. DE C.V.",El Salvador,ESL,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,30-May-2001,14-Jun-2001,17-Dec-2001,20-Dec-2001,,,45.0,,45.0,SV,15-Sep-2024
