date_disclosed,project_name,document_type,project_number,project_url,product_line,company_name,country,ifc_country_code,industry,environmental_category,department,status,projected_board_date,ifc_approval_date,ifc_signed_date,ifc_invested_date,ifc_investment_for_risk_managementmillion__usd,ifc_investment_for_guaranteemillion__usd,ifc_investment_for_loanmillion__usd,ifc_investment_for_equitymillion__usd,total_ifc_investment_as_approved_by_boardmillion__usd,wb_country_code,as_of_date
2001-05-11,Peru Rail,Summary of Proposed Investment (Disclosure Policy 2006),10024,https://disclosures.ifc.org/project-detail/SPI/10024/peru-rail,Loan,Ferrocarril Transandino S.A.,Peru,PER,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2001-06-15,2002-05-07,2002-06-27,2002-11-18,,,9.000000,,9.000000,PE,2024-09-15
2000-04-06,San Antonio International Terminal,Summary of Proposed Investment (Disclosure Policy 2006),10081,https://disclosures.ifc.org/project-detail/SPI/10081/san-antonio-international-terminal,Loan,San Antonio Terminal Internacional S.A.,Chile,,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,,2000-05-12,2000-11-15,2000-12-21,,,35.000000,3.700000,38.700001,CL,2024-09-15
2000-10-17,UF Moldova Distribution Company,Summary of Proposed Investment (Disclosure Policy 2006),10113,https://disclosures.ifc.org/project-detail/SPI/10113/uf-moldova-distribution-company,Loan,RED UNION FENOSA S.A.,Moldova,MDA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2000-11-16,2000-12-20,2001-11-19,2002-02-06,,,25.000000,,25.000000,MD,2024-09-15
1999-12-27,C.A. La Electricidad de Caracas,Summary of Proposed Investment (Disclosure Policy 2006),10117,https://disclosures.ifc.org/project-detail/SPI/10117/c.a.-la-electricidad-de-caracas,Loan,C.A. La Electricidad de Caracas,"Venezuela, Republica Bolivariana de",,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,,2000-02-03,2000-07-25,2000-08-09,,,30.000000,,30.000000,VE,2024-09-15
2000-08-22,Tecon Salvador,Summary of Proposed Investment (Disclosure Policy 2006),10201,https://disclosures.ifc.org/project-detail/SPI/10201/tecon-salvador,Loan,Tecon Salvador S/A.,Brazil,BRA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2000-09-26,2000-12-01,2001-01-19,2001-04-09,,,3.500000,1.000000,4.500000,BR,2024-09-15
2002-02-22,Pamir Energy Development,Summary of Proposed Investment (Disclosure Policy 2006),10255,https://disclosures.ifc.org/project-detail/SPI/10255/pamir-energy-development,Loan,OAO PAMIR ENERGY COMPANY,Tajikistan,TJK,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Active,2002-03-28,2002-06-27,2002-09-16,2003-07-21,,,4.500000,3.500000,8.000000,TJ,2024-09-15
2001-04-12,Central Aguirre Portuaria - II,Summary of Proposed Investment (Disclosure Policy 2006),10304,https://disclosures.ifc.org/project-detail/SPI/10304/central-aguirre-portuaria---ii,Loan,Central Aguirre Portuaria S.A.,Bolivia,BOL,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2001-06-15,2001-06-21,2002-02-25,2002-05-24,,,2.500000,,2.500000,BO,2024-09-15
2001-03-02,Mahindra Infrastructure Company,Summary of Proposed Investment (Disclosure Policy 2006),10384,https://disclosures.ifc.org/project-detail/SPI/10384/mahindra-infrastructure-company,Equity,MAHINDRA INFRASTRUCTURE DEVELOPERS LIMITED,India,IND,Infrastructure,B,Regional Industry - INF Asia & Pac,Completed,2001-04-02,2001-04-19,2001-06-25,2003-06-17,,,,10.000000,10.000000,IN,2024-09-15
2001-03-26,Volga-Dnepr Airlines,Summary of Proposed Investment (Disclosure Policy 2006),10465,https://disclosures.ifc.org/project-detail/SPI/10465/volga-dnepr-airlines,Loan,"AVIAKOMPANIYA VOLGA-DNEPR, OOO",Russian Federation,RUS,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2001-04-30,2001-05-31,2002-06-19,2002-08-05,,,25.000000,,25.000000,RU,2024-09-15
2001-03-29,CAESS/EEO/DEUSEM Distribution Companies,Summary of Proposed Investment (Disclosure Policy 2006),10471,https://disclosures.ifc.org/project-detail/SPI/10471/caess-eeo-deusem-distribution-companies,Loan,"COMPANIA DE ALUMBRADO ELECTRICO DE SAN SALVADOR, S.A. DE C.V.",El Salvador,ESL,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2001-05-30,2001-06-14,2001-12-17,2001-12-20,,,45.000000,,45.000000,SV,2024-09-15
2001-03-01,AG Concession,Summary of Proposed Investment (Disclosure Policy 2006),10491,https://disclosures.ifc.org/project-detail/SPI/10491/ag-concession,Loan,ANDRADE GUTIERREZ CONCESSOES SA,Brazil,BRA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2001-04-05,2001-05-01,2001-11-05,2002-04-23,,,15.000000,15.000000,30.000000,BR,2024-09-15
2001-09-28,San Vicente International Terminal,Summary of Proposed Investment (Disclosure Policy 2006),10678,https://disclosures.ifc.org/project-detail/SPI/10678/san-vicente-international-terminal,Loan,San Vicente Terminal Internacional S.A.,Chile,,Infrastructure,B,Regional Industry INF LAC & EUR,Completed,2001-10-31,2002-03-18,2004-02-05,2004-03-25,,,15.000000,2.000000,17.000000,CL,2024-09-15
2001-05-02,Peak Pacific Investment Company,Summary of Proposed Investment (Disclosure Policy 2006),10774,https://disclosures.ifc.org/project-detail/SPI/10774/peak-pacific-investment-company,Loan,Peak Pacific Investment Company Ltd.,China,CHA,Infrastructure,B,Gbl Infrastructure &amp; Natural Resources,Completed,2001-06-15,2001-06-13,2001-08-23,2001-09-21,,,25.000000,0.000000,25.000000,CN,2024-09-15
